IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
2.56.255.22,19096,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,698,2.8
185.186.146.238,40444,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,711,2.73
183.97.62.155,20440,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1168,2.71
142.171.163.19,443,TRUE,US,US,North America,Los Angeles,35916,MULTA-ASN1,965,2.59
59.21.83.241,10038,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,916,2.52
59.127.223.93,12118,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,686,2.48
185.183.84.237,14395,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,680,2.45
121.134.141.200,12345,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1286,2.4
114.34.22.147,16499,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,957,2.38
118.37.12.7,12298,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1156,2.1
142.171.220.62,16922,TRUE,US,US,North America,Los Angeles,35916,MULTA-ASN1,1116,2.04
14.33.7.164,21299,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1239,2.01
59.24.92.220,10912,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1086,2
121.1.74.44,10042,TRUE,US,US,North America,Los Angeles,9694,Seokyung Cable Television Co.. Ltd.,1029,1.95
67.230.163.140,9080,TRUE,US,US,North America,Los Angeles,25820,IT7NET,880,1.94
88.210.37.244,2053,TRUE,US,US,North America,Los Angeles,8849,Melbikomas UAB,753,1.93
119.203.161.28,11300,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1140,1.84
210.204.133.179,20022,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1193,1.83
218.157.191.205,10205,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,958,1.8
220.134.160.237,37414,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,878,1.79
104.234.60.180,443,TRUE,US,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,1965,1.79
121.163.64.9,15555,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,986,1.76
154.9.237.175,20003,TRUE,US,US,North America,Los Angeles,979,NETLAB-SDN,1213,1.75
61.85.69.73,10000,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,916,1.75
222.120.31.69,18087,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1548,1.72
211.230.73.232,10912,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1369,1.67
122.118.192.102,25228,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,725,1.66
125.134.39.60,12567,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,763,1.66
60.251.142.38,25721,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,984,1.63
60.251.142.38,36621,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,722,1.63
23.224.141.167,26578,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,548,1.62
108.61.216.29,18105,TRUE,US,US,North America,Los Angeles,20473,AS-CHOOPA,958,1.61
104.234.61.142,10443,TRUE,US,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,1119,1.5
111.242.106.105,12289,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,749,1.49
154.23.244.202,1433,TRUE,US,US,North America,Los Angeles,8796,FD-298-8796,1431,1.48
221.158.190.76,17988,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,993,1.39
154.40.56.39,8443,TRUE,US,US,North America,Los Angeles,979,NETLAB-SDN,953,1.29
59.127.186.20,13031,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,679,1.26
220.133.236.200,19460,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,1031,1.24
2.59.151.136,22091,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,940,1.07
172.247.15.164,34237,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,1854,1.07
36.231.72.53,13410,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,655,1.06
124.202.166.165,1443,TRUE,US,US,North America,Los Angeles,4808,China Unicom Beijing Province Network,920,1.05
60.250.202.116,25179,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,745,0.98
38.6.173.153,34237,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,888,0.94
59.127.223.93,32442,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,676,0.93
59.124.90.154,26901,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,767,0.9
185.238.250.168,31445,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,696,0.88
172.247.123.112,34237,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,1431,0.67
60.250.202.116,34488,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,657,0.61
60.251.142.38,16891,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,701,0.57
185.238.250.167,40444,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,1113,0.53
114.33.231.164,32903,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,988,0.51
60.250.202.116,28223,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,655,0.47
185.238.250.234,34237,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,710,0.47
204.93.173.229,12517,TRUE,US,US,North America,Los Angeles,142036,Hosteons Pte. Ltd.,1001,0.47
36.232.210.217,17007,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,720,0.46
193.9.44.160,31683,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,649,0.45
60.250.202.116,12692,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,686,0.44
220.135.191.223,16241,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,975,0.41
36.231.138.252,18414,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,682,0.4
36.231.138.252,31337,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,734,0.38
104.128.89.117,22222,TRUE,US,US,North America,Los Angeles,25820,IT7NET,685,0.37
36.232.210.217,28306,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,755,0.36
60.250.202.116,13444,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,704,0.35
23.94.213.192,2003,TRUE,US,US,North America,Los Angeles,36352,AS-COLOCROSSING,838,0.34
211.75.9.118,10640,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,1099,0.34
36.232.210.217,26845,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,665,0.33
36.232.210.217,28240,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,708,0.32
211.223.146.34,22105,TRUE,US,US,North America,Los Angeles,4766,Korea Telecom,1209,0.27
211.75.233.120,38023,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,920,0.25
36.232.210.217,12422,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,696,0.24
59.127.223.93,33648,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,704,0.23
36.232.210.217,11939,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,740,0.17
202.5.18.211,2053,TRUE,US,US,North America,Los Angeles,7489,HostUS,794,0.04
154.29.156.40,443,TRUE,US,US,North America,Los Angeles,174,COGENT-174,1971,0.03
142.171.174.14,12468,TRUE,US,US,North America,Los Angeles,35916,MULTA-ASN1,1974,0.01
47.74.54.145,2053,TRUE,JP,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",199,12.34
176.119.150.204,2008,TRUE,JP,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,551,10.37
8.209.214.222,2053,TRUE,JP,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",384,10.32
146.56.171.182,11659,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,541,9.44
47.74.5.150,8443,TRUE,JP,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",238,8.58
106.253.189.126,12525,TRUE,KR,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,499,7.86
146.56.177.67,61153,TRUE,HK,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,783,7.18
112.154.249.73,11027,TRUE,KR,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,401,6.49
112.154.249.73,20100,TRUE,KR,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,502,5.87
106.253.189.126,10399,TRUE,JP,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,433,5.76
106.253.189.126,12409,TRUE,JP,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,435,5.66
115.91.95.202,17182,TRUE,KR,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,388,5.59
49.163.61.103,30012,TRUE,JP,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,461,4.86
182.230.215.148,21266,TRUE,JP,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,501,4.63
122.35.111.172,12545,TRUE,JP,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,506,4.32
112.154.249.73,12261,TRUE,KR,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,300,3.99
180.231.234.86,30027,TRUE,KR,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,350,2.45
122.35.111.172,22609,TRUE,JP,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,507,2
122.35.111.172,16072,TRUE,JP,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,529,1.45
141.11.138.114,8054,TRUE,JP,JP,Asia Pacific,Tokyo,51847,Nearoute Limited,425,1.14
115.91.95.202,10251,TRUE,KR,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,359,1.1
141.11.138.114,8053,TRUE,JP,JP,Asia Pacific,Tokyo,51847,Nearoute Limited,423,0.9
45.66.128.216,2000,TRUE,JP,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,961,0.88
176.97.73.99,8420,TRUE,JP,JP,Asia Pacific,Tokyo,9009,M247 Europe SRL,718,0.49
211.75.74.232,4443,TRUE,US,US,North America,Los Angeles,3462,Data Communication Business Group,670,0.26
146.56.179.20,45790,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,441,0.15
2400:8902:e001:11b:fff3:e83e:83e2:4,443,TRUE,JP,JP,Asia Pacific,Tokyo,63949,Akamai Connected Cloud,210,0.12
38.59.241.39,10000,TRUE,US,US,North America,San Jose,41378,Kirino LLC,1195,8.35
37.123.193.49,18008,TRUE,US,US,North America,San Jose,41378,Kirino LLC,1396,8.2
45.139.193.203,20443,TRUE,US,US,North America,San Jose,6233,XTOM,683,8.02
37.123.192.153,2002,TRUE,US,US,North America,San Jose,41378,Kirino LLC,835,7.87
116.238.45.18,10090,TRUE,US,US,North America,San Jose,4812,China Telecom Group,906,7.55
37.123.193.163,1234,TRUE,US,US,North America,San Jose,41378,Kirino LLC,1091,6.17
37.123.192.153,2001,TRUE,US,US,North America,San Jose,41378,Kirino LLC,1385,5.94
37.123.192.153,2000,TRUE,US,US,North America,San Jose,41378,Kirino LLC,1112,5.8
220.133.227.253,25028,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,702,5.28
138.2.231.22,33333,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,950,5.2
192.18.138.99,443,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,1144,4.99
37.123.193.43,8443,TRUE,US,US,North America,San Jose,41378,Kirino LLC,1120,4.66
43.153.27.246,4333,TRUE,US,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",1198,4.53
118.163.128.81,37888,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,677,4.44
192.9.157.141,3000,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,822,4.26
91.186.208.93,2087,TRUE,US,US,North America,San Jose,4213,EVOCATIVE-GLOBAL,876,4.14
114.95.197.178,12132,TRUE,US,US,North America,San Jose,4812,China Telecom Group,669,4.08
83.147.241.55,8443,TRUE,US,US,North America,San Jose,4213,EVOCATIVE-GLOBAL,666,3.93
64.23.129.254,7443,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,707,2.94
13.52.251.56,8444,TRUE,US,US,North America,San Jose,16509,AMAZON-02,1077,2.73
143.198.63.204,55091,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,736,2.48
146.190.12.205,56466,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,763,2.43
125.229.230.180,20411,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,730,2.24
54.151.14.158,1456,TRUE,US,US,North America,San Jose,16509,AMAZON-02,885,2.14
143.198.63.204,34303,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,718,1.97
143.198.63.204,23667,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,790,1.91
143.198.63.204,33350,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,701,1.69
64.23.146.220,8443,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,683,1.59
137.175.53.92,10000,TRUE,US,US,North America,San Jose,54600,PEG-SV,1113,1.42
8.217.64.152,95,TRUE,US,US,North America,San Jose,45102,"Alibaba US Technology Co., Ltd.",904,1.4
143.198.63.204,12852,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,763,1.36
143.198.63.204,26600,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,709,1.35
143.198.63.204,37059,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,730,1.26
13.57.182.91,443,TRUE,US,US,North America,San Jose,16509,AMAZON-02,942,1.25
143.198.140.91,48135,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,752,1.14
146.190.12.205,48135,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,762,1.09
143.198.63.204,17555,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,823,1.08
143.198.63.204,16279,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,716,1.07
114.95.197.178,30019,TRUE,US,US,North America,San Jose,4812,China Telecom Group,1013,0.99
192.18.140.32,443,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,1083,0.88
143.198.63.204,51133,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,691,0.79
143.198.63.204,30274,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,707,0.74
107.172.218.244,47452,TRUE,US,US,North America,San Jose,36352,AS-COLOCROSSING,969,0.73
107.175.254.148,443,TRUE,US,US,North America,San Jose,36352,AS-COLOCROSSING,1032,0.67
143.198.63.204,22070,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,758,0.67
143.198.63.204,37177,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,748,0.61
137.175.111.168,443,TRUE,US,US,North America,San Jose,54600,PEG-SV,1208,0.59
23.94.100.187,34237,TRUE,US,US,North America,San Jose,36352,AS-COLOCROSSING,972,0.56
143.198.63.204,22097,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,724,0.53
178.128.8.12,8444,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,792,0.52
183.24.11.130,8523,TRUE,US,US,North America,San Jose,4134,Chinanet,998,0.51
137.175.64.89,9443,TRUE,US,US,North America,San Jose,54600,PEG-SV,1398,0.47
107.172.8.212,26089,TRUE,US,US,North America,San Jose,36352,AS-COLOCROSSING,984,0.46
152.67.248.119,443,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,973,0.35
183.65.22.161,12415,TRUE,US,US,North America,San Jose,4134,Chinanet,1010,0.31
109.172.84.96,8443,TRUE,US,US,North America,San Jose,211849,Kakharov Orinbassar Maratuly,942,0.31
111.20.226.42,12191,TRUE,US,US,North America,San Jose,9808,"China Mobile Communications Group Co., Ltd.",1014,0.3
107.172.97.143,50150,TRUE,US,US,North America,San Jose,36352,AS-COLOCROSSING,975,0.28
211.75.233.120,35985,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,891,0.22
211.75.233.120,13280,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,734,0.19
185.45.195.47,2095,TRUE,US,US,North America,San Jose,60117,Host Sailor Ltd,1113,0.17
211.75.233.120,39066,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,820,0.17
211.75.233.120,28427,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,779,0.12
211.75.233.120,16326,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,800,0.11
5.78.76.95,2052,TRUE,US,US,North America,San Jose,212317,Hetzner Online GmbH,857,0.05
143.198.63.204,53080,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,739,0.04
111.249.193.133,15089,TRUE,US,US,North America,San Jose,3462,Data Communication Business Group,889,0.03
143.198.63.204,51518,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,762,0.02
143.198.63.204,52340,TRUE,US,US,North America,San Jose,14061,DIGITALOCEAN-ASN,991,0.02
,,,,,,,,,,
